,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price,order_date,ship_date, different Month,Year,Day,Hours,Minutes,vlookup,hlookup
20,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",01-12-2016,26-12-1997,227,18,6915,165960,9957600,,Windows 11 Home
21,DELL,Inspiron 3520,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹35,980",02-12-2016,28-12-1996,239,19,7279,174696,10481760,,Windows 11 Home
22,SAMSUNG,NP550,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹47,990",03-12-2016,31-12-1995,251,20,7643,183432,11005920,,Windows 11 Home
23,ASUS,K3504VAB-NJ322WS,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹39,990",04-12-2016,02-01-1995,263,21,8007,192168,11530080,,Windows 11 Home
24,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",05-12-2016,04-01-1994,275,22,8371,200904,12054240,,Windows 11 Home
25,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",06-12-2016,06-01-1993,287,23,8735,209640,12578400,,Windows 11 Home
26,DELL,Inspiron 3520,Core i3,Windows 11 Home,512 GB,8 GB,96.52 cm (38 cm),No,"₹36,480",07-12-2016,09-01-1992,298,24,9099,218376,13102560,,Windows 11 Home
27,Lenovo,15IAU7,Core i3,Windows 11 Home,512 GB,8 GB,100.63 cm (39.62 cm),No,"₹35,990",08-12-2016,11-01-1991,310,25,9463,227112,13626720,,Windows 11 Home
28,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",09-12-2016,13-01-1990,322,26,9827,235848,14150880,,Windows 11 Home
29,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",10-12-2016,15-01-1989,334,27,10191,244584,14675040,,Windows 11 Home
30,HP,15s- eq2144au,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹38,990",11-12-2016,18-01-1988,346,28,10555,253320,15199200,,Windows 11 Home
31,HP,e0333ax,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,40.89 cm (16.1 Inch),No,"₹88,407",12-12-2016,20-01-1987,358,29,10919,262056,15723360,,Windows 11 Home
32,MSI,Modern 14 C7M-063IN,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹33,990",13-12-2016,22-01-1986,370,30,11283,270792,16247520,,Windows 11 Home
33,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",14-12-2016,24-01-1985,382,31,11647,279528,16771680,,Windows 11 Home
34,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",15-12-2016,27-01-1984,394,32,12011,288264,17295840,,Windows 11 Home
35,ASUS,X515EA-EJ342WS,Core i3,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,"₹33,990",16-12-2016,29-01-1983,406,33,12375,297000,17820000,,Windows 11 Home
36,MSI,Thin GF63 12UC-846IN,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹52,990",17-12-2016,31-01-1982,418,34,12739,305736,18344160,,Windows 11 Home
37,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",18-12-2016,02-02-1981,430,35,13103,314472,18868320,,Windows 11 Home
38,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990",19-12-2016,05-02-1980,442,36,13467,323208,19392480,,Windows 11 Home
39,DELL,Inspiron 3520,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹35,980",20-12-2016,07-02-1979,454,37,13831,331944,19916640,,Windows 11 Home
40,MSI,Bravo 15 B5ED,Ryzen 7 Octa Core,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 inch),No,"₹54,990",21-12-2016,09-02-1978,466,38,14195,340680,20440800,,Windows 11 Home
41,MSI,Modern 14 C11M-031IN,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹28,990",22-12-2016,11-02-1977,478,39,14559,349416,20964960,,Windows 11 Home
42,ASUS,15,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹36,990",23-12-2016,14-02-1976,490,40,14923,358152,21489120,,Windows 11 Home
43,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",24-12-2016,16-02-1975,502,41,15287,366888,22013280,,Windows 11 Home
44,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990",25-12-2016,18-02-1974,514,42,15651,375624,22537440,,Windows 11 Home
45,Infinix,XL422,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹27,990",26-12-2016,20-02-1973,526,43,16015,384360,23061600,,Windows 11 Home
46,MSI,GF63 Thin 11UC-1294IN,Core i7,Windows 11 Home,4 TB,16 GB,39.62 cm (15.6 Inch),No,"₹66,780",27-12-2016,23-02-1972,538,44,16379,393096,23585760,,DOS
47,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",28-12-2016,25-02-1971,550,45,16743,401832,24109920,,Windows 11 Home
48,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",29-12-2016,27-02-1970,562,46,17107,410568,24634080,,#N/A
49,HP,255 G8,Ryzen 3 Dual Core,DOS,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹30,500",30-12-2016,01-03-1969,573,47,17471,419304,25158240,,#N/A
50,Ultimus,NU14U3INC43BN-MB,Celeron Dual Core,Windows 11 Home,128 GB,4 GB,35.81 cm (14.1 Inch),No,"₹11,990",31-12-2016,03-03-1968,585,48,17835,428040,25682400,,Windows 11 Home
51,Acer,A715-76G,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹57,990",01-01-2017,06-03-1967,597,49,18199,436776,26206560,,Windows 11 Home
52,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",02-01-2017,08-03-1966,609,50,18563,445512,26730720,,Windows 11 Home
53,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",03-01-2017,10-03-1965,621,51,18927,454248,27254880,,Windows 11 Home
54,Acer,AN515-58,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,"₹89,990",04-01-2017,12-03-1964,633,52,19291,462984,27779040,,Windows 11 Home
55,ASUS,X1502ZA-EJ953WS,Core i3,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹36,990",05-01-2017,15-03-1963,645,53,19655,471720,28303200,,Windows 11 Home
56,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",06-01-2017,17-03-1962,657,54,20019,480456,28827360,,Windows 11 Home
57,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",07-01-2017,19-03-1961,669,55,20383,489192,29351520,,Windows 11 Home
58,ASUS,Vivobook 15,Core i3,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 inch),No,"₹43,534",08-01-2017,21-03-1960,681,56,20747,497928,29875680,,Windows 11 Home
59,CHUWI,Hero Book Pro,Celeron Dual Core,Windows 11 Home,256 GB,8 GB,35.81 cm (14.1 inch),No,"₹18,990",09-01-2017,24-03-1959,693,57,21111,506664,30399840,,Windows 11 Home
60,Lenovo,V15 G3 IAP,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹32,840",10-01-2017,26-03-1958,705,58,21475,515400,30924000,,Windows 11 Home
61,Lenovo,15ITL6,Core i5,Windows 11 Home,NA,16 GB,39.62 cm (15.6 inch),No,"₹44,990",11-01-2017,28-03-1957,717,59,21839,524136,31448160,,Windows 11 Home
62,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",12-01-2017,30-03-1956,729,60,22203,532872,31972320,,Windows 11 Home
63,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990",13-01-2017,02-04-1955,741,61,22567,541608,32496480,,Windows 11 Home
64,ASUS,E1504FA-NJ322WS,Ryzen 3 Quad Core,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹33,990",14-01-2017,04-04-1954,753,62,22931,550344,33020640,,Windows 11 Home
65,ASUS,S3402ZA-KM501WS,Core i5,Windows 11 Home,NA,16 GB,35.56 cm (14 Inch),No,"₹65,990",15-01-2017,06-04-1953,765,63,23295,559080,33544800,,Windows 11 Home
66,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",16-01-2017,08-04-1952,777,64,23659,567816,34068960,,Windows 11 Home
67,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990",17-01-2017,11-04-1951,789,65,24023,576552,34593120,,Mac OS Monterey
68,DELL,New Inspiron 15 Laptop,Core i5,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",18-01-2017,13-04-1950,801,66,24387,585288,35117280,,Windows 11 Home
69,Lenovo,16IAH8,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),No,"₹61,190",19-01-2017,15-04-1949,813,67,24751,594024,35641440,,#N/A
70,Apple,MacBook Pro,M2,Mac OS Monterey,256 GB,8 GB,33.78 cm (13.3 Inch),No,"₹99,990",20-01-2017,17-04-1948,825,68,25115,602760,36165600,,#N/A
71,SAMSUNG,Galaxy Book3,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹69,990",21-01-2017,20-04-1947,837,69,25479,611496,36689760,,Windows 11 Home
72,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",22-01-2017,22-04-1946,849,70,25843,620232,37213920,,Windows 11 Home
73,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",23-01-2017,24-04-1945,860,71,26207,628968,37738080,,Windows 11 Home
74,Lenovo,15ACH6,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,100.63 cm (39.62 cm),No,"₹45,990",24-01-2017,26-04-1944,872,72,26571,637704,38262240,,Windows 11 Home
75,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹40,490",25-01-2017,29-04-1943,884,73,26935,646440,38786400,,Windows 11 Home
76,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",26-01-2017,01-05-1942,896,74,27299,655176,39310560,,Windows 11 Home
77,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",27-01-2017,03-05-1941,908,75,27663,663912,39834720,,Windows 11 Home
78,Acer,A315-510P,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 inch),No,"₹29,980",28-01-2017,05-05-1940,920,76,28027,672648,40358880,,Windows 11 Home
79,Infinix,INBook Y1 Plus,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹25,990",29-01-2017,08-05-1939,932,77,28391,681384,40883040,,Windows 11 Home
80,ASUS,X1502ZA-EJ515WS,Core i5,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹47,990",30-01-2017,10-05-1938,944,78,28755,690120,41407200,,Windows 11 Home
81,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",31-01-2017,12-05-1937,956,79,29119,698856,41931360,,Windows 11 Home
82,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",01-02-2017,14-05-1936,968,80,29483,707592,42455520,,Windows 11 Home
83,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",02-02-2017,17-05-1935,980,81,29847,716328,42979680,,Windows 11 Home
84,ASUS,TN3402QA-LZ740WS,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),Yes,"₹64,990",03-02-2017,19-05-1934,992,82,30211,725064,43503840,,Windows 11 Home
85,HP,15s- eq2144au,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹43,490",04-02-2017,21-05-1933,1004,83,30575,733800,44028000,,Windows 11 Home
86,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990",05-02-2017,23-05-1932,1016,84,30939,742536,44552160,,Windows 11 Home
87,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990",06-02-2017,26-05-1931,1028,85,31303,751272,45076320,,Windows 11 Home
88,ASUS,E1504FA-LK521WS,Ryzen 5 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹45,990",07-02-2017,28-05-1930,1040,86,31667,760008,45600480,,Windows 11 Home
89,ASUS,E1404GA-NK322WS,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹35,990",08-02-2017,30-05-1929,1052,87,32031,768744,46124640,,Windows 11 Home
90,Infinix,INBook Y2 Plus,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹34,990",09-02-2017,01-06-1928,1064,88,32395,777480,46648800,,Windows 11 Home
91,HP,15-fe0027TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,"₹88,690",10-02-2017,04-06-1927,1076,89,32759,786216,47172960,,Windows 11 Home
92,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",11-02-2017,06-06-1926,1088,90,33123,794952,47697120,,Windows 11 Home
93,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",12-02-2017,08-06-1925,1100,91,33487,803688,48221280,,Windows 11 Home
94,Acer,A514-56GM,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹56,990",13-02-2017,10-06-1924,1112,92,33851,812424,48745440,,Windows 11 Home
95,Acer,AN515-58,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹86,990",14-02-2017,13-06-1923,1124,93,34215,821160,49269600,,Windows 11 Home
96,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",15-02-2017,15-06-1922,1136,94,34579,829896,49793760,,Windows 11 Home
97,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",16-02-2017,17-06-1921,1147,95,34943,838632,50317920,,Windows 11 Home
98,MSI,Modern 14 C11M-030IN,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹36,990",17-02-2017,19-06-1920,1159,96,35307,847368,50842080,,Windows 11 Home
99,ASUS,Vivobook 16X,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,40.64 cm (16 inch),No,"₹57,390",18-02-2017,22-06-1919,1171,97,35671,856104,51366240,,Windows 11 Home
100,Infinix,XL30,Celeron Quad Core,Windows 11 Home,512 GB,8 GB,39.01 cm (15.36 inch),No,"₹23,990",19-02-2017,24-06-1918,1183,98,36035,864840,51890400,,Windows 11 Home
101,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990",20-02-2017,26-06-1917,1195,99,36399,873576,52414560,,Windows 11 Home
102,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",21-02-2017,28-06-1916,1207,100,36763,882312,52938720,,Windows 11 Home
103,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",22-02-2017,01-07-1915,1219,101,37127,891048,53462880,,Windows 11 Home
104,DELL,Inspiron 3511,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹45,990",23-02-2017,03-07-1914,1231,102,37491,899784,53987040,,Windows 11 Home
105,ASUS,X515EA-EJ312W,Core i3,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 Inch),No,"₹27,990",24-02-2017,05-07-1913,1243,103,37855,908520,54511200,,Windows 11 Home
106,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",25-02-2017,07-07-1912,1255,104,38219,917256,55035360,,Windows 11 Home
107,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",26-02-2017,10-07-1911,1267,105,38583,925992,55559520,,Windows 11 Home
108,HP,15s- eq1580AU,Ryzen 3 Dual Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹30,999",27-02-2017,12-07-1910,1279,106,38947,934728,56083680,,Windows 11 Home
109,HP,15-fb0131AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹58,800",28-02-2017,14-07-1909,1291,107,39311,943464,56607840,,Chrome
110,HP,14s - dy2508TU,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),No,"₹43,349",01-03-2017,16-07-1908,1303,108,39675,952200,57132000,,Windows 11 Home
111,HP,15-fd0011TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹60,490",02-03-2017,19-07-1907,1315,109,40039,960936,57656160,,#N/A
112,HP,14c-cc0010TU,Core i5,Chrome,256 GB,8 GB,35.56 cm (14 inch),No,"₹62,990",03-03-2017,21-07-1906,1327,110,40403,969672,58180320,,#N/A
113,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",04-03-2017,23-07-1905,1339,111,40767,978408,58704480,,Windows 11 Home
114,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",05-03-2017,25-07-1904,1351,112,41131,987144,59228640,,Windows 11 Home
115,Lenovo,15ITL05,Core i3,Windows 11 Home,NA,8 GB,39.62 cm (15.6 Inch),No,"₹32,990",06-03-2017,28-07-1903,1363,113,41495,995880,59752800,,Windows 11 Home
116,MSI,Modern 14 C7M-062IN,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹37,990",07-03-2017,30-07-1902,1375,114,41859,1004616,60276960,,Windows 11 Home
117,HP,15s-ey1509AU,Athlon Dual Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹30,690",08-03-2017,01-08-1901,1387,115,42223,1013352,60801120,,Mac OS Monterey
118,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",09-03-2017,03-08-1900,1399,116,42587,1022088,61325280,,DOS
119,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",10-03-2017,13-11-2016,3,0,117,2808,168480,,#N/A
120,Apple,MacBook Air,M2,Mac OS Monterey,256 GB,8 GB,34.54 cm (13.6 Inch),No,"₹1,04,990",11-03-2017,11-11-2017,3,#NUM!,-245,-5880,-352800,,#N/A
121,HP,255 G8 Laptop,Ryzen 3 Dual Core,DOS,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹23,999",12-03-2017,13-11-2016,3,0,119,2856,171360,,#N/A
122,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",13-03-2017,11-11-2017,4,#NUM!,-243,-5832,-349920,,#N/A
123,HP,14c-cc0010TU,Core i5,Chrome,256 GB,8 GB,35.56 cm (14 inch),No,"₹62,990",14-03-2017,13-11-2016,4,0,121,2904,174240,,#N/A
124,ASUS,E1504FA-LK321WS,Ryzen 3 Quad Core,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹39,990",15-03-2017,11-11-2017,4,#NUM!,-241,-5784,-347040,,Windows 11 Home
125,Lenovo,V15 G2 ALC,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹34,990",16-03-2017,13-11-2016,4,0,123,2952,177120,,Windows 11 Home
126,ASUS,E1504FA-LK323WS,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹39,990",17-03-2017,11-11-2017,4,#NUM!,-239,-5736,-344160,,Windows 11 Home
127,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",18-03-2017,13-11-2016,4,0,125,3000,180000,,Windows 11 Home
128,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990",19-03-2017,11-11-2017,4,#NUM!,-237,-5688,-341280,,Windows 11 Home
129,HP,15s-fy5006TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",20-03-2017,13-11-2016,4,0,127,3048,182880,,Windows 11 Home
130,HP,14s - dy2507TU,Core i3,Windows 11 Home,256 GB,8 GB,35.56 cm (14 inch),No,"₹35,990",21-03-2017,11-11-2017,4,#NUM!,-235,-5640,-338400,,Windows 11 Home
131,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",22-03-2017,13-11-2016,4,0,129,3096,185760,,Windows 11 Home
132,HP,15-fd0011TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹60,490",23-03-2017,11-11-2017,4,#NUM!,-233,-5592,-335520,,Windows 11 Home
133,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990",24-03-2017,13-11-2016,4,0,131,3144,188640,,Windows 11 Home
